Algoritmo,Execucao,Tempo_s
Heapsort,1,0.000629
Heapsort,2,0.000638
Heapsort,3,0.000670
Heapsort,4,0.000736
Heapsort,5,0.000660
Heapsort,6,0.000637
Heapsort,7,0.000676
Heapsort,8,0.000618
Heapsort,9,0.000678
Heapsort,10,0.000622
Quicksort,1,0.037620
Quicksort,2,0.025348
Quicksort,3,0.027375
Quicksort,4,0.025121
Quicksort,5,0.023777
Quicksort,6,0.023573
Quicksort,7,0.025710
Quicksort,8,0.023849
Quicksort,9,0.023508
Quicksort,10,0.023562
