Algoritmo,Execucao,Tempo_s
Heapsort,1,0.000278
Heapsort,2,0.000293
Heapsort,3,0.000294
Heapsort,4,0.000205
Heapsort,5,0.000205
Heapsort,6,0.000201
Heapsort,7,0.000201
Heapsort,8,0.000202
Heapsort,9,0.000203
Heapsort,10,0.000204
Quicksort,1,0.007410
Quicksort,2,0.007116
Quicksort,3,0.007094
Quicksort,4,0.007091
Quicksort,5,0.007094
Quicksort,6,0.007091
Quicksort,7,0.007093
Quicksort,8,0.007091
Quicksort,9,0.007093
Quicksort,10,0.007093
